address,city,state,zipCode,endecaId,isPaid,geoCode,isCurrentSpotlight,lastUpdate,listingId,listingType,listingPriceHigh,listingPriceLow,listingBedHigh,listingBedLow,listingBathHigh,listingBathLow,halfBaths,unitSqFt,listingSeoPath,desktopPhone,mPhone,nearbyListings,neighborhoods,noVacancy,photos,propertyName,propertyLabel,propertyType,recommendedListings,revenue,tplSource,mgtCoName,hasagHdTour,hasHdTour,hasHdVideo,hasUGVideos,aggregates.prices.low,aggregates.prices.high,aggregates.beds.low,aggregates.beds.high,aggregates.baths.low,aggregates.baths.high,aggregates.totalAvailable
3763 Timahoe Circle,Nottingham,MD,21236,r3087278,True,"39.390164,-76.496725",False,2020-05-31T04:55:06.987Z,r3087278,Townhouses And Condos,1800,1800,2,2,2,2,0,[1190],Maryland/Nottingham/r3087278,8442864419,8442864419,"['r3082864', 'r3086540', 'r3090714', 'r3091614']",,,"[{'path': '/imgr/5812e2b690f9ec0b6791b34efa5e7952/', 'caption': '68aa28ed-6ab8-11ea-b74a-0ee385c625a0.jpg'}]",,3763 Timahoe Circle,,,no_value_available,RentClicks.com,AmberHarper,False,False,False,False,1800,1800,2,2,2,2,
5107 Midwood Avenue,Baltimore,MD,21212,r3038996,True,"39.349978,-76.602726",False,2020-06-04T19:40:11.240Z,r3038996,Houses And Homes,1800,1800,3,3,2,2,0,[2960],Maryland/Baltimore/r3038996,8557641330,8557641330,"['r3087304', 'r3092217', 'r3050805', 'r3088433']",,,"[{'path': '/imgr/5e891b55411097edfe490cf9c3284984/', 'caption': '6.jpg'}]",,5107 Midwood Avenue,,,no_value_available,RentClicks.com,marc cox,False,True,False,False,1800,1800,3,3,2,2,
42631 Chisholm Dr,Broadlands,VA,20148,r3087528,True,"39.002990,-77.527192",False,2020-06-01T18:00:23.807Z,r3087528,Townhouses And Condos,2400,2400,4,4,3,3,1,[2390],Virginia/Ashburn/r3087528,8448651030,8448651030,"['r3087593', 'r2998388', 'r3091542', 'r763370']",,,"[{'path': '/imgr/8485dda42c1fe15b42629da5bdd9333e/', 'caption': 'picture1.jpg'}]",,42631 Chisholm dr,,,no_value_available,RentClicks.com,SudhakarMuthukannan,False,False,False,False,2400,2400,4,4,3,3,
2478 Ontario Road NW,Washington,DC,20009,r3088783,True,"38.922649,-77.040401",False,2020-06-08T03:40:07.460Z,r3088783,Apartments,2200,2200,2,2,1,1,0,[900],Apartments/District-of-Columbia/Washington/r3088783,8556726458,8556726458,"['r3081940', 'r3075178', 'r3075206', 'r3076116']",,,"[{'path': '/imgr/b18923f44ca9ffa88f0bbb7a70ffcf3d/', 'caption': '20200604_125921.jpg'}]",,"2478 Ontario Road, NW",,,no_value_available,RentClicks.com,RonaldGluck,False,False,False,False,2200,2200,2,2,1,1,
8416 Bates Drive,Bowie,MD,20720,r3088168,True,"39.003604,-76.796652",False,2020-06-04T13:50:07.350Z,r3088168,Houses And Homes,2500,2500,4,4,2,2,1,[2000],Maryland/Bowie/r3088168,8556146103,8556146103,"['r3088531', 'r3091187', 'r3091003', 'r3084965']",,,"[{'path': '/imgr/411ccd31861ccf9dc1d89688d03001d0/', 'caption': 'IMG_0337.JPG'}]",,8416 Bates Drive,,,no_value_available,RentClicks.com,JudethBeverly,False,False,False,False,2500,2500,4,4,2,2,
12128 Garden Ridge Lan,Fairfax,VA,22030,r3087519,True,"38.854465,-77.366890",False,2020-06-19T21:01:13.957Z,r3087519,Townhouses And Condos,1550,1550,1,1,1,1,0,[800],Virginia/Fairfax/r3087519,8448253602,8448253602,"['r3090310', 'r2998388', 'r763370', 'r3090990']",,,"[{'path': '/imgr/e75579421946688113a77e62581189c5/', 'caption': 'IMG_4699-6D.JPG'}]",,12128 Garden Ridge Lan,,,no_value_available,RentClicks.com,ChristineDailey,False,False,False,False,1550,1550,1,1,1,1,
435 Balboa Ave,Capitol Heights,MD,20743,r2871182,True,"38.883996,-76.918592",False,2020-06-17T03:05:49.243Z,r2871182,Houses And Homes,1900,1900,4,4,2,2,0,[1600],Maryland/Capitol-Heights/r2871182,8447323042,8447323042,"['r3085219', 'r3085226', 'r3091037', 'r3073009']",,,"[{'path': '/images/no-rentals-images.jpeg/', 'caption': 'No-Image'}]",,435 Balboa Ave,,,no_value_available,Rentals.com,Moses Yogaraj,False,False,False,False,1900,1900,4,4,2,2,
1525 Arbutus Ave,Halethorpe,MD,21227,r3071411,True,"39.241887,-76.689105",False,2020-06-18T21:27:48.310Z,r3071411,Houses And Homes,1250,1250,2,2,1,1,0,[880],Maryland/Halethorpe/r3071411,8442604500,8442604500,"['r3064781', 'r3091959', 'r3092576', 'r3092630']",,,"[{'path': '/imgr/b7ecf9bce2d0e68ee5ae632af8c2bd38/', 'caption': 'Halethorpe Spring Sign.jpg'}]",,1525 Arbutus Ave,,,no_value_available,RentClicks.com,EdwardLibertini,False,False,False,False,1250,1250,2,2,1,1,
235 Finchingfield Court,Sterling,VA,20165,r3087593,True,"39.047738,-77.397383",False,2020-06-17T13:50:07.077Z,r3087593,Townhouses And Condos,850,850,3,3,3,3,1,[2500],Virginia/Sterling/r3087593,8442717883,8442717883,"['r2998388', 'r763370', 'r3090990', 'r3090992']",,,"[{'path': '/imgr/f4114c13323e65c0a397f59ae5dbe648/', 'caption': 'Deck.jpg'}]",,235 Finchingfield Court,,,no_value_available,RentClicks.com,GeraldLimber,False,False,False,False,850,850,3,3,3,3,
5607 Newton Street,Hyattsville,MD,20784,r3087615,True,"38.935468,-76.921114",False,2020-06-02T14:25:15.483Z,r3087615,Houses And Homes,1950,1950,5,5,2,2,1,[1600],Maryland/Hyattsville/r3087615,8448305329,8448305329,"['r2871182', 'r3050626', 'r3089346', 'r3085219']",,,"[{'path': '/imgr/1e245e95b65271f127972c6019df054b/', 'caption': 'Screenshot_20200601-233041.jpg'}]",,5607 Newton Street,,['r1434560'],no_value_available,RentClicks.com,shayharoon,False,False,False,False,1950,1950,5,5,2,2,
12001 Market Street,Reston,VA,20190,r763370,True,"38.958760,-77.361740",False,2020-06-13T05:36:56.557Z,r763370,Townhouses And Condos,1700,1700,1,1,1,1,0,[800],Virginia/Reston/r763370,8442638677,8442638677,"['r3090990', 'r3090992', 'r2998388', 'r3087593']",['Reston Town Center'],,"[{'path': '/imgr/886ee46a5c9f0f206fa96b1da7e278d7/', 'caption': 'Market Street Condos'}]",,12001 Market Street,,,no_value_available,RentClicks.com,GTSI,False,False,False,False,1700,1700,1,1,1,1,
13280 Woodland Park Road,Herndon,VA,20190,100040797,True,"38.9529,-77.4048",False,,100040797,Apartments,3045,1425,3,0,2,1,0,[1373],Apartments/Virginia/Herndon/100040797,5712973484,,"['42010', '80857', '100017095', '12204', '78948']",['McNair'],,"[{'path': 'imgr/7173002260a694bf93daf226bed41f33/', 'caption': None}]",,The Point At Ridgeline Apartments,,"['186760', '15770', '12505', '190543', '186126']",20,APTGUIDE,Panco Management of New Jersey LLC,False,False,False,False,1425,3045,0,3,1,2,
2750 GALLOWS RD,Vienna,VA,22180,100034759,True,"38.9001,-77.2252",False,,100034759,Apartments,99999,1575,2,0,2,1,0,[1263],Apartments/Virginia/Vienna/100034759,5715331041,,"['186187', '162637', '3679', '189227', '12313']",,,"[{'path': 'imgr/7fd094c70c8b513eed52bf08b8b8e65d/', 'caption': 'Avalon Dunn Loring'}]",,Avalon Dunn Loring Apartments,,"['100035429', '183212', '88302', '190166', '188870']",20,APTGUIDE,"AvalonBay Communities, Inc.",False,False,False,False,1575,99999,0,2,1,2,
2251 Pimmit Drive,Falls Church,VA,22043,6042,True,"38.902,-77.2041",False,,6042,Apartments,99999,1635,3,1,2,1,0,[1153],Apartments/Virginia/Falls-Church/6042,7039910785,,"['12313', '162637', '3679', '100034759', '100035429']",,,"[{'path': 'imgr/4adb8d2e2b9b281d79aff81d92febb00/', 'caption': 'eaves Fairfax Towers'}]",,Eaves Fairfax Towers Apartments,,"['100027293', '3664', '88302', '189227', '100028519']",20,APTGUIDE,"AvalonBay Communities, Inc.",True,False,False,False,1635,99999,1,3,1,2,
2987 District Avenue,Fairfax,VA,22031,190166,True,"38.8715,-77.2301",False,,190166,Apartments,99999,1685,2,0,2,1,1,[1231],Apartments/Virginia/Fairfax/190166,5715127334,,"['100027808', '184290', '3664', '189227', '12322']",,,"[{'path': 'imgr/2fe20b4c5ebe55184caa8b5eeda23868/', 'caption': 'Avalon Mosaic'}]",,Avalon Mosaic Apartments,,"['188870', '36364', '12179', '100034759', '100035429']",20,APTGUIDE,"AvalonBay Communities, Inc.",False,False,False,False,1685,99999,0,2,1,2,
9900 Main St,Fairfax,VA,22031,21861,True,"38.8445,-77.288",False,,21861,Apartments,99999,1539,3,1,2,1,1,[1330],Apartments/Virginia/Fairfax/21861,5714095173,,"['12518', '3618', '10492', '100027325', '12179']",,,"[{'path': 'imgr/9f93d97eac20f0efe0e2ec7ea53fa00e/', 'caption': 'Leasing Office'}]",,Woodland Park Apartments,,"['20255', '15770', '186126', '100036802', '6429']",4.57,APTGUIDE,Van Metre Companies,False,False,True,False,1539,99999,1,3,1,2,
6600 Colton Crawford Circle,Falls Church,VA,22042,100023372,True,"38.8823,-77.1711",False,,100023372,Apartments,99999,1800,3,1,2,1,1,[1933],Apartments/Virginia/Falls-Church/100023372,7036381757,,"['100027293', '190656', '79379', '100010642', '100012059']",,,"[{'path': 'imgr/92eaba5a89679f9c2369cbcd685dbc44/', 'caption': 'Avalon Falls Church'}]",,Avalon Falls Church Apartments,,"['90791', '36364', '100035429', '100033436', '183212']",20,APTGUIDE,"AvalonBay Communities, Inc.",False,False,False,False,1800,99999,1,3,1,2,
14240 Alta Oaks Drive,Rockville,MD,20850,34816,True,"39.0909,-77.2055",False,,34816,Apartments,99999,1680,3,1,2,1,1,[1592],Apartments/Maryland/Rockville/34816,3016372431,,"['88474', '12196', '100023165', '184292', '88204']",,,"[{'path': 'imgr/9291ea21e116daad7ccf8102c94f4306/', 'caption': 'Pool and sundeck'}]",,Avalon At Traville Apartments,,"['4318', '183141', '100040634', '12515', '7109']",14.76,APTGUIDE,"AvalonBay Communities, Inc.",False,False,False,False,1680,99999,1,3,1,2,
10608 E Kitty Pozer Drive,Fairfax,VA,22030,12518,True,"38.8379,-77.3138",False,,12518,Apartments,99999,1770,3,0,2,1,1,[1553],Apartments/Virginia/Fairfax/12518,7039915220,,"['21861', '100027325', '12184', '3618', '186077']",,,"[{'path': 'imgr/63e9166c3f98f95352fdda5d6534e761/', 'caption': 'eaves Fairfax City'}]",,Eaves Fairfax City Apartments,,"['12371', '12180', '12503', '192781', '88501']",20,APTGUIDE,"AvalonBay Communities, Inc.",False,False,False,False,1770,99999,0,3,1,2,
